Period from,Period to,Agile Import price (p/kWh),Agile Export price (p/kWh)
01/01/2023 00:00,01/01/2023 00:30,4.41,2.84
01/01/2023 00:30,01/01/2023 01:00,13.91,7.02
01/01/2023 01:00,01/01/2023 01:30,15.44,7.69
01/01/2023 01:30,01/01/2023 02:00,1.10,1.38
01/01/2023 02:00,01/01/2023 02:30,6.70,3.85
01/01/2023 02:30,01/01/2023 03:00,1.34,1.49
01/01/2023 03:00,01/01/2023 03:30,2.10,1.82
01/01/2023 03:30,01/01/2023 04:00,-5.11,0.00
01/01/2023 04:00,01/01/2023 04:30,1.10,1.38
01/01/2023 04:30,01/01/2023 05:00,-3.31,0.00
01/01/2023 05:00,01/01/2023 05:30,-0.99,0.46
01/01/2023 05:30,01/01/2023 06:00,-0.75,0.57
01/01/2023 06:00,01/01/2023 06:30,-0.88,0.51
01/01/2023 06:30,01/01/2023 07:00,1.10,1.38
01/01/2023 07:00,01/01/2023 07:30,0.58,1.15
01/01/2023 07:30,01/01/2023 08:00,8.82,4.78
01/01/2023 08:00,01/01/2023 08:30,4.23,2.76
01/01/2023 08:30,01/01/2023 09:00,16.76,8.27
01/01/2023 09:00,01/01/2023 09:30,15.57,7.75
01/01/2023 09:30,01/01/2023 10:00,31.13,14.60
01/01/2023 10:00,01/01/2023 10:30,31.97,14.96
01/01/2023 10:30,01/01/2023 11:00,33.76,16.90
01/01/2023 11:00,01/01/2023 11:30,30.47,14.31
01/01/2023 11:30,01/01/2023 12:00,33.76,17.28
01/01/2023 12:00,01/01/2023 12:30,33.49,15.63
01/01/2023 12:30,01/01/2023 13:00,33.76,16.51
01/01/2023 13:00,01/01/2023 13:30,33.76,16.42
01/01/2023 13:30,01/01/2023 14:00,33.76,15.85
01/01/2023 14:00,01/01/2023 14:30,33.76,16.42
01/01/2023 14:30,01/01/2023 15:00,32.97,15.40
01/01/2023 15:00,01/01/2023 15:30,30.03,14.11
01/01/2023 15:30,01/01/2023 16:00,31.29,14.66
01/01/2023 16:00,01/01/2023 16:30,33.76,20.27
01/01/2023 16:30,01/01/2023 17:00,33.76,23.57
01/01/2023 17:00,01/01/2023 17:30,33.76,23.99
01/01/2023 17:30,01/01/2023 18:00,33.76,23.66
01/01/2023 18:00,01/01/2023 18:30,33.76,24.15
